
# Begin A's
# Page 1 Column 1
ABAK Aback
ABAF Abaft
ABAND Abandon
ABANDM Abandonment
ABAS Abase
ABASHT Abashed
ABAT Abate
ABATM Abatement
ABE Abbey
ABREV Abbreviate
ABREV^RE Abbreviatory
ABDEKNT Abdicant
ABDEK Abdicate
ABDEKSH Abdication
ABDOM Abdomen
ABDUK Abduct
ABDUKSH Abduction
ABERNT Aberrant
ABERASH Aberration
ABANS Abeyance
ABHOR Abhor
ABHORNS Abhorrence
ABHORNT Abhorrent
ABI Abide
A^B Ability
ABJ Abject

# Page 1 Column 2
ABJU Abjure
ABLASH Ablation
ABLATV Ablative
ABLSH Ablution
ABNEG Abnegate
ABNEGSH Abnegation
ABNOM Abnormal
ABOR Aboard
ABOD Abode
ABOLESH Abolish
ABOLSH Abolition
ABOLSHST Abolitionist
ABOMB Abominable
ABOMBN Abominableness
ABOMAT Abominate
ABOMSH Abomination
ABORJ Aboriginal
ABOREJNES Aborigines
ABN Abound
AB About
ABU Above
ABRASH Abrasion
ABRASV Abrasive
ABRES Abreast
ABREJ Abridge
ABREJM Abridgment
ABROD Abroad

# Page 1 Column 3
abrog abrogate
abrogsh abrogation
abrp abrupt
abrpn abruptness
abss abscess
absknd abscond
abs absence
abse absentee
abso absolute
absolsh absolution
absol absolve
absob absorb
absopsh absorption
abstn abstain
abstmus abstemious
abstmusn abstemiousness
abstnens abstinence
ab^k abstract
ab^kt abstracted
ab^ksh abstraction
ab^us abstruse
absed absurd
absede absurdity
abndns abundance
abndn abundant
abeu abuse
abeusv abusive

# Page 2 Column 1
abtm abutment
abtl abuttal
abesml abysmal
abes abyss
akadmek academic
akadm^ke academically
akadmsh academician
akadme academy
aksed accede
aksedns accedence
aksel accelerate
akselsh acceleration
aksel^r accelerator
aksent accent
aksentut accentuate
aksentsh accentuation
aks( accept
aks( acceptance
aks(^b acceptability
aks(b acceptable
aks(sh acceptation
aks(s access
aks(s accessible
aks(s^b accessibility
aksesh accession
aksre accessory
aks accident
aks^l accidental
akla acclaim

# Page 2 Column 2
aklamsh acclamation
aklimat acclimate
aklimsh acclimation
akola accolade
akldt accomodate
akdsh accomodation
akpe^m accompaniment
akpe^st accompanist
akpe accompany
akplis accomplice
akp accomplish
akpm accomplishment
akr accord
akrns accordance
akr^e accordingly
akoden accordion
akos accost
akt account
aktb accountable
aktnt accountant
akre accredit
akresh accretion
akru accrue
akeum^u accumulate
akrse accuracy
akra accurate
akeu accuse

# Page 2 Column 3
akus accustom
asebte acerbity
as^a acetic
asetus acetous
asetlen acetylene
achev achieve
? akrom^a|e achromatically
ased acid
asedte acidity
asedlus acidulous
ak acknowledge
akm acknowledgment
akme acme
akoli acolyte
akrn acorn
ak^st acoustic
aka acquaintance
? akas acquaintances
ake_s acquiesce
ake_sns acquiescence
aki acquire
akim acquirement
akessh acquisition
akestv acquisitive
ake_t acquit

# Page 3 Column 1
ace_tl acquittal
akrj acreage
akred acrid
akredte acridity
akremnus acrimonious
akremne acrimony
akrobt acrobat
akrob^a acrobatic
akrs across
akr^st acrostic
aksh action
acshb actionable
akv active
ac^v activity
aktr actor
aktres actress
aktl actual
akta| actually
aktre actuary
aktut actuate
akeumn acumen
akeut acute
adj adage
adamnt adamant
akamntn adamantine
adap adapt
adap^b adaptablity

# Page 3 Column 2
adapb adaptable
adapsh adaptation
adnda addenda
adndm addendum
ade~ adder
adek addict
adeksh addiction
adsh addition
adr address
adre addressee
adr^r addresser
adus adduce
a.duk adduct
adnoe adenoid
adep adept
adekse adequacy
adek adequate
ad'e~ adhere
ad'e~^ns adherence
ad'e~^nt adherent
ad'esh adhesion
ad'esv adhesive
adeu adieu
adpo adipose
ajasnt adjacent
ajkv adjective
ajoen adjoin

# Page 3 Column 3
aje~n adjourn
ajj adjudge
ajdek adjudicate
ajnk adjunct
aju adjure
ajus adjust
ajub adjustable
ajutnt adjutant
amnes administer
amnessh administration
amnes^v administrative
amnis^r administrator
amnes^res administratrix
amirb admirable
amirl admiral
amir^l admiralty
amirash admiration
mi~ admire
mi~^r admirer
amesb admissible
amsh admission
amet admit
ametns admittance
amestr admixture
amnesh admonish
amnsh admonition
adoles adolescent
adoles adolescence

# Page 4 Column 1
adp adopt
adpsh adoption
adorb adorable
adorash adoration
ador adore
adon adorn
adonm adornment
adr^a adriatic
adref adrift
adroe adroit
ad^ush adulation
adul adult
adlra adulterate
adlrash adulteration
adlre adultery
vans advance
av advantage
avus advantageous
avusn advantageousness
avnt advent
avntshus adventitious
avntr adventure
avntrus adventurous
averb adverb
avesre adversary
aves adverse

# Page 4 Column 2
aveste adversity
avat advert
avt advertise
avtm advertisement
avt^r advertiser
vis advise
vis advisable
vis^b advisability
visr adviser
visre advisory
avkse advocacy
avkat advocate
ads adz
ejean Aegean
eolin Aeolian
a,rash aeration
a&e,ra&'l aerial
arefm aeriform
aromete~ aerometer
arnot aeronaut
arn^a aeronautic
arn^as aernautics
arplan aeroplane
arostsh aerostation
esth^a aesthetic
af^b affability
afb affable
afar affair

# Page 4 Column 3
afk affect
afktsh affection
? afk affection
afkshet affectionate
? afa&ent affiant
afdv affidavit
afela&'t affiliate
afela&'sh affiliation
af^nt affinity
afem affirm
afemsh affirmation
afematv affirmative
afex affix
afl afflict
aflsh affliction
afluns affluence
aflunt affluent
aflus afflux
afd afford
afra affray
afri affright
afrnt affront
af'nd aforehand
afmnsht aforementioned
afsed aforesaid
fra afraid
afr Africa

# Page 5 Column 1
af after
afklap afterclap
afkrp aftercrop
afmath aftermath
afnun afternoon
afthot afterthought
afd afterward
agn again
agns against
agat agate
aj age
ajse agency
aj agent
aglom agglomerate
aglomsh agglomeration
a^ndis aggrandize
a^vat aggravate
a^vash aggravation
a^gat aggregate
a^gsh aggregation
a^s aggress
a^sh aggression
a^sv aggressive
a^s)r aggressor
a^v aggrieve
agas aghast
ajl agile

# Page 5 Column 2
aj^l agility
ajta agitate
ajtsh aditation
agn^st agnostic
agnosatss agnosticism
agog agog
agnis agonize
agne agony
a|^ran agrarian
? a| agree
? a|^b agreeability
? a|b agreeable
? a|m agreement
a|^cl agricultural
a|^c agriculture
a|^cst agriculturist
ageu ague
a. ah
'a. aha
''ed ahead
''oe ahoy
agret aigret
alm ailment
aml aimless
amln aimlessness
are| airily
a~tit airtight

# Page 5 Column 3
il aisle
aja~ ajar
aken akin
alabas alabaster
alak^r alacrity
alam alarm
alas alas
aslask alaska
albtros albatross
albm album
albeum albumen
alceme alchemy
alkol alcohol
alkolek alcoholic
alkolsm alcoholism
alkuv alcove
? ode alder
odemn alderman
ale~t alert
ale~tn alertness
alj algebra
alj^ke algebraically
ala&'s alias
albi alibi
alen alien
alenb alienable
alenat alienate

# Page 6 Column 1
alensh alienation
alin align
alimn alignment
ala alike
alemn aliment
alemre alimentary
alemne alimony
alekot aliquot
alav alive
alkal alkali
? o all
ala allay
alegsh allegation
alej allege
alejns allegiance
alej^k allegorical
alejore allegory
alevet alleviate
alevesh alleviation
ala&'ns alliance
alid allied
alegatr alligator
aletsh alliteration
alpthe allopathy
alot allot
alotmn allotment

# Page 6 Column 2
al allow
alb allowable
alns allowance
aloe alloy
ospis allspice
alud allude
alr allure
alrm allurement
alsh allusion
aluv allusive
ali ally
omnel almanac
omate Almighty
amnd almond
omo almost
alo aloe
alof aloft
alon alone
alng along
alngsi alongside
alof aloof
alau aloud
alpka alpaca
alf alphabet
alf^a| alphabetical
alpn alpine
ore already

# Page 6 Column 3
oso also
? ota altar
? o alter
o^b alterable
o^nt alterant
o^ash alterabtion
o^cat altercate
o^cash altercation
o^nat alternate
o^natv alternative
otho although
altet altitude
altetudn altitudinal
alto alto
otu altogether
altrusm altruism
altrst altruist
altr^st altruistic
alm alum
alumn aluminium
almi alumni
almnus alumnus
ols always
amalg amalgam
amal amalgamate
amalsh amalgamation
amnunss amanuesis

# Page 7 Column 1
amas amass
amatr amateur
amatv amative
amatre amatory
? amas amaze
amasm amazement
amas^e amazingly
amazn Amazon
ambaz ambassador
ambr amber
ambdes^r ambidexterity
ambdes ambidextrous
ambent ambient
ambgeu ambiguity
ambg ambiguous
amb ambition
amb ambitious
? ambrusha ambrosia
amblams ambulance
ambusk ambuscade
ambsh ambush
amelra ameliorate
