# Page 91 Column 1
a&embk iambic
's ice
isberg iceberg
iskrem icecream
is^k icicle
ikklas iconoclast
ade idea
adel ideal
adelsm idealism
adeles idealist
adel^st idealistic
ade^l ideality
adelezsh idealization
adeliz idealize
adn^k identical
adn^f identification
adntf identify
adn-te identity
edose idiocy
edem idiom
edim^a idiomatic
edusenk idiosyncrasy
edot idiot
adl idle
adln idleness
adlr idler

# Page 91 Column 2
ade| idly
idol idol
idolat idolatrous
idolatre idolatry
idl idyl
ef if
efni ignite
engitb ignitible
egnsh ignition
egnib ignoble
ignomn ignominous
egnomne ignominy
egnram ignoramus
eg ignorance
eg ignorant
egnor ignore
el ill
eleg illegal
eleg^l illegality
elej^b illegibility
elej illegible
elejtm illegitimate
eleber illiberal
elest illicit
elemet illimitable
ele^se illiteracy
ele^t illiterate

# Page 91 Column 3
eln illness
eloj illogical
? elumat illuminate
? elumnsh illumination
? elumnar illuminator
? elumn illumine
? elsh illusion
? elusv illusive
elus illustrate
elus illustration
elus^v illustrative
elustrus illustrious
elustrusn illustriousness
emaj image
emaj^b imaginable
emaj^re imaginary
emaj imagination
emaj^v imaginative
emaj imagine
mbesel imbecile
jbes^l imbecility
mbib imbibe
mbeu imbue
emetb imitable
emeta imitate
emetsh imitation
emetatv imitative

# Page 92 Column 1
emak^u immaculate
ema^l immaterial
ela^l immateriality
ematr immature
imeshu^b immeasurability
emeshub immeasurable
eme immediate
eme immediately
emmorl immemorial
emns immense
emnste immensity
? emej immerge
emers immerse
emersh immersion
? emeg immigrant
? emeg immigrate
? emegsh immigration
? emns imminence
? emn imminent
emobl immoble
emo^b immobility
emod immoderate
emodes immodest
emorl immoral
emor^l immorality
emotl immortal
emot^l immortality
emu^b immovable

# Page 92 Column 2
emu^nt immunity
emur immure
imutb immutable
mpak impact
mpar impair
mpalp impalpable
mpanl impanel
mpt impart
mparsh impartial
mparsh^l impartiality
mparshe| impartially
mpasb impassable
mpash^b impassibility
mpashat mipassionate
mpash^d impassioned
mpasv immpassive
mpashns impatience
mpasht impatient
mpech impeach
mpechb impeachable
mpechm impeachment
mpek impeccable
mpkeum impecunious
mped impede
mpdem impediment
mpdema impedimenta
mpl impel

# Page 92 Column 3
mpnd impend
mpndr^b impentrability
mpnetn impenitent
mpe~tv imperative
mprsep^b imperceptibility
mprsep imperceptible
mprf imperfect
mprfsh imperfection
mperl imperial
mprl imperil
mperus imperious
mperusm imperiousness
mperesh imperishable
mprmn impermanent
mprs) impersonal
mprs)nat impersonate
mprs)nsh impersonation
mpe~tns impertinence
mpe~tn impertinent
mpe~t^b imperturbability
mpe~tb imperturbable
mprvus impervious
mpt^s) impetuosity
mpteus impetuous
mptus impetus
mpite impiety

# Page 93 Column 1
mpenj impinge
mpus impious
mplak^b implacability
mplak implacable
mplant implant
mplem implement
mplek implicate
mplaksh implication
mplest implicite
mplr implore
mpli imply
mprli impolite
mpol^a impilitic
mprt import
mp importance
mp important
mporsh importation
mporr importer
mportnat importunate
mportn importune
mposh imposition
mpos^b impossibility
mpos impossible
mpostr impostor
mpotnse impotency
mpotn impotent
mpov impoverish

# Page 93 Column 2
mpkt^b impracticability
mprltb impracticable
mprk^k impractical
mprek imprecate
mpreg^b impregnability
mpreg impregnable
mpregnsh impregnation
mpresare-o impresario
mpres impress
mpresb impressible
mpresh impression
mpreshb impressionable
mpresv impressive
mprent imprint
mpresn imprision
mpresm impresionment
mpr^b improbability
mprb improbable
mprmtu impromptu
mprpr improper
mprpri impropriety
mpr^b improvable
mpr improvement
mprvdn improvident
mprvis improvise
mprudns imprudence
mprudn imprudent

# Page 93 Column 3
mpudns impudence
mpudn impudent
mpeun impugn
mpls impulse
mplsv impulsive
ipu^nt impunity
mpeu impure
mp^r impurity
mpush imputation
mpu impute
en^b inability
enakss^b inaccessibility
enalss inaccessible
enakrse inaccuracy
enakra inaccurate
enaksh inaction
enakv inactive
enak^v inactivity
enadekse inadequacy
enadek inadequate
enavtnse inadvertency
enavtn inadvertent
enalen inalienable
enan inane
enanem inanimate
enansh inantion
en^nt inanity

# Page 94 Column 1
enaplek inapplicable
enap inapt
enaptet inapititude
ena~tek^u inarticulate
nsmch inasmuch
enatnsh inattention
enatntv inattentive
enodb inaudible
enog inaugurate
nbon inborn
nbn inbound
nkal incalculable
nkdes incandescent
nktsh incantation
nkap incapable
nkapas incapacitate
nkap^s) incapacity
nkrsera incarcerate
nkrnat incarnate
nkrnsh incarnation
nkoshus incautious
nsendrsm incendiarism
nsendre incendiary
ensens incense
nesntv incentive
nsepsh inception
eseptv inceptive

# Page 94 Column 2
nse~tet incertitude
nssnt incessant
nch inch
nsdn-t incident
nsdn-tl incidental
nsepent incipient
nsehs incision
nsis incisive
nsi incite
nsv^l incivility
e^mnse inclemency
e^m inclement
e^nsh inclination
e^n incline
e^nd inclined
nk inclose
nk^r inclosure
e^d include
e^sh inclusion
e^sv inclusive
nkneto incognito
ngnesb incognizance
nkorense incoherency
nkorent incoherent
nkm income
nkmnshub incommensurable

# Page 94 Column 3
nkmod incommode
nkprb incomparable
nkptb incompatible
nkptnse incompetency
nkptn inpompetent
nkp incomplete
nkprens^b incomprehensibility
nkpresb incompressible
nkse inconceivable
nkkv inconclusive
nkgrute incongruity
nkgrus incongruous
nksek inconsequent
nks^at inconsiderate
nkssnse inconsistency
nkss inconsistent
nksolb inconsolable
nkspk inconspicuous
nkstn inconstant
? nkt incontestable
entnnt incontinent
nkven inconvenience
nkven inconvenient
nkrp incorporate
nkrporel incorporeal
nkr incorrect
nkorej^b incorrigibility

# Page 95 Column 1
nkorej incorrigible
niorp incorruptible
moresb increasable
nkres increase
nkres^e increasingly
ikred^b incredibility
nkredb incredible
nkred^l incredulity
nkredu incredulous
nkrem increment
nkremnat incriminate
nkeuba incubator
nkul inculcate
nklpa inculpate
nkmbse incumbency
nkmb incumbent
nkr incur
nkeu^b incurable
nkrsh incursion
n-dt^t indebted
n-dt^t-n indebtedness
ndsif indecipherable
ndsesh indecision
ndsis indecisive
ndekor indecorous
ndekorm indecorum
n-dd indeed

 # Page 95 Column 2
n-dfat^b indefatigability
n-dfat indefatigable
n-dfinb indefinable
n-dfn indefinite
n-dfnn indefiniteness
ndelb indelible
ndelek indelicate
n-dmef indemnify
n-dm^nt indemnity
n-dn-t indent
n-dn-tsh indentation
n-dn-tr indenture
ndp independence
ndp independent
ne~mnat indeterminate
ndex index
nda&'n Indian
ndek indicate
ndeksh indication
ndekv indicative
inek^r indicator
n-dit indict
n-ditb indictable
n-dit-m indictment
n-df indifference
n-df indifferent
ndjns indigence
ndjnus indigenous
ndgnt indigent

# Page 95 Column 3
ndjes indigestion
ndeg indignant
ndegnsh indignation
ndeg^nt indignity
ndigo indigo
n-drk indirect
n-drkn indirectness
nds~nb indiscernible
ndskre indiscreet
ndskresh indiscretion
ndskrem indiscriminate
ndsp^b indispensibility
ndsp indispensible
ndspo indispose
ndspu indisputable
ndsolb indissoluble
ndstn indistinct
n-dst^b indistinguishable
n-dit indite
ndv individual
ndv^l individuality
n-dvesb indivisible
ndolens indolence
ndolent indolent
ndometb indomitable
ndos indorse
ndose indorsee

# Page 96 Column 1
ndosm indorsement
n-doser indorser
ndubtb indubitable
n-dus induce
n-duksh induction
ndeu indue
ndlj indulge
ndlj indulgence
ndlgnt indulgent
ndra indurate
ndsl industrial
ndsus industrious
nds industry
enebra^'t inebriate
enef ineffable
nfkv ineffective
nfkvn ineffectiveness
nfktl ineffectual
nfn^l ineffectuality
nfkta| ineffectally
enefkash inefficacious
enefk inefficacy
enefesh inefficiency
enefesht inefficient
eneleg inelegant
enelej eneligible
enelu inequality

# Page 96 Column 2
ene~t intert
enersha^' inertia
ene~t-n inertness
enestmb inestimable
enevt inevitable
nexak inexact
nexaktet inexactitude
enxkeu inexcusable
nesos inexhaustible
nesor^b inexorability
nesorb inexorable
nespdns inexpedience
nespdn-t inexpedient
nspe inexperience
nesplek inexplicable
nesplest inexplicit
nespr inexpressible
nfal^b infallibility
nfalb infallible
ifamus infamous
nfanse infancy
nfant infant
nfantil infantile
jfantre infantry
nfatut infatuate
nfateush infatuation
nfekus infectious

# Page 96 Column 3
nfelestus infelicitous
nfel^s) infelicity
nfer infer
nferns inference
nrerr inferior
jfer^r inferiourity
nfe~nl infernal
nfes infest
nfedl infidel
nfed^l infidelity
nfeltrat infiltrate
jfeltrash infilitration
nfenet infinite
nfenet-n infiniteness
nfenetes infinitesimal
nfenetv infinitive
nf^nt infinity
nfem infirm
nfemre infirmary
nf^mt infirmity
nflam inflame
nflam^b inflammability
nflamsh inflammation
nflam^re inflammatory
nfla inflate
nflash inflation

# Page 97 Column 1
nfl inflect
nflsh inflection
nflex^b inflixibility
nflexb inflexible
nfl inflict
nf influence
nfsh influentail
nflunza influenza
nflux influx
nfm inform
nfm^m informality
nfmsh informaiton
nfme~ informer
nfraksh infraction
nfrek infrequency
nfrek infrequent
nfrenj infringe
nfrenjm infringement
nfeura^'t infuriate
nfeu infuse
njenus ingenious
njenusn ingeniousness
anshanu ingenue
njenute ingenuity
njnus ingenuous
nglos inglorious
engot ingot
ngran ingrain

# Page 97 Column 2
ngrasha&'t ingratiate
ngrat ingratitude
ngradn-t ingradient
ngron ingrown
en'abt inhabit
en'abtn inhabitant
en'al inhale
en'a~mnus inharmonious
en'e~nt inherent
en'e~t inherit
en'e~tb inheritable
en'e~tns inheritance
en'ebt inhibit
en'ospt inhospitable
en'eumn inhuman
en'eum inhume
enem^k inimical
enemet inimitable
eneke_et iniquity
enehs initial
enesha&'t initiate
enesha&'sh initiation
eneshtv initiative
eneshtre initiatory
njk inject
njdsh injudicious
njnk injunction

# Page 97 Column 3
nju injure
nju injury
mjus injuries
mjuus injurious
mjuss injustice
enk ink
enkl' inkling
nlad inlaid
nland inland
nla inlay
n-mat inmate
nmo inmost
en inn
enat innate
ene~ inner
ene~mu innermost
? enervat innervate
en' inning
enus innocence
enos innocent
enok innocuous
enovat innovate
enovash innovation
enundo innuendo
eneumb innumerable
enok^u inoculate
enok^ush inoculation
enofens inoffensive
enoprtn inopportune

# Page 98 Column 1
enodn inordinate
enognic inorganic
nqes inquest
nki inquire
nki^r inquirer
? nkie inquiry
nkes-sh inquisition
nkestv inquisitive
nkestvn inquisitiveness
nkestr inquisitor
nrod inroad
nsan insane
ns^nt insanity
nsashb insatiable
nskr inscribe
nskrsh inscription
nskrutb inscrutable
nsek insect
enskr insecure
nsek^r insecurity
nsensa insensate
nsens^b insensibility
nsensb insensible
nsepr inseparable
nse~t insert
nsesh insertion
nset inset

# Page 98 Column 2
nsi inside
nsedus insidious
nsit insight
nsegna insignia
nsg insignificance
nsg insignificant
nsense insincere
inses^r insincerity
nseneu insinuate
nseneush insinuation
nsepd insipid
nss insist
nssnt inssistent
nsolens insolence
nsolent insolent
nsolb insoluabl
ensolvse insolvency
nsolvnt insolvent
nsomna^' insomnia
nsomch insomuch
nsp inspect
nspsh inspection
nsp^r inspector
nsprash inspiration
nspi inspire
nst^b instability
nstol install
nstolash installation

# Page 98 Column 3
nstolm installment
ns instance
ns instant
nstnus insantaneous
ns^t instead
nstep instep
nsteg instigate
nstegsh instigation
nsteg^r instigator
nste~ instill
nstenk instinct
nsteng^v instinctive
nst institute
nstsh institution
ns^k instruct
ns^ksh instruction
ns^kv instructive
ns^kr instructor
ns^m instrument
ns^ml instrumental
ns^m^l instrumentality
nsodn insubordinate
nsufb insufferable
nsuf insufficient
nsulr insular
ns^u insulate
ns^ush insulation
ns^ur insulator

# Page 99 Column 1
nsu insult
ns)^tb insupportable
ns)^s)unsuppressible
nsh insure
nsh insurance
nsh^r insurer
nsegnt insurgent
nse~mn-tb insurmountable
nsereksh insurrection
n-tak intact
ntaleo intaglio
n-tnjb intangible
ntje~ integer
ntegrl integral
ntegra integrate
ntegrash integration
nteg^r integrity
n^ek intellectual
n^j intelligence
n^gnt intelligent
n^j intelligible
n-tmp intemperance
n-tmp intemperate
n-tn intend
n-tns intense
n-tnsf intensify
n-tnste intensity

# Page 99 Column 2
n-tnsv intensive
n-tn-t intent
n-tnsh intention
n-tnshl intentional
n^sed intercede
n^sep intercept
n^sesh intercession
n^ssr intercessor
n^ch interchange
n^ch^b interchangeability
n^chb interchangeable
n^kolej intercollegiate
n^kmu intercommunicate
n^krs intercourse
n^dek interdict
n^dsh interdiction
n^s) interest
n^st interested
n^st-n interestedness
n^s-s interests
n^fer interfere
n^ferns interference
n^m interim
n^or interior
n^jk interject
n^jksh interjection
n^las interlace

# Page 99 Column 3
n^lev interleave
n^lan interline
n^lok interlock
n^lopr interloper
n^lud interlude
n^med intermediate
n^m interment
n^mb interminable
n^meng intermingle
n^msh intermission
n^metn intermittent
n^nl internal
n^nash international
n^pola interpolate
n^polash interpolation
n^po interpose
n^posh interposition
n^p interpret
n^psh interpretation
n^p^r interpreter
n^og interrogate
n^ogsh interogation
n^ogtv interrogator
n^og^re interrogatory
n-up interrupt
n^upsh interruption

# Page 100 Column 1
n^sek intersect
n^seksh intersection
n^'prs intersperse
n^st interstate
n^stes interstice
n^rbn interurban
n^va interval
n^ven intervene
n^vnsh intervention
n^f interview
n^uev interweave
ntesta intestate
ntestn intestine
n-tmase intimacy
n-tmat intimate
n-tmsh intimation
n-tmedt intimidate
n-tmdesh intimidation
ntu into
ntolb intolerable
ntolns intolerance
ntolnt intolerant
n-tonat intonate
n-tonsh intonation
ntox intoxicate
ntoxsh intoxication
n^k^b intractability

# Page 100 Column 2
n^kb intractable
n^ktl intractile
nt^tv intransitive
n^nch intrench
n^pd intrepid
n^pdte intrepidity
n^kases intricacies
n^nase intricacy
n^kat intricate
n^g intrigue
n^nsk intrinsic
n^dus introduce
n^dsh introduction
n^dukre introductory
n^sp introspect
n^spsh introspection
n^sp^v introspective
n^d intrude
n^de~ intruder
n^sh intrusion
n^sv intrusive
n^st intrust
nteush intuition
ndeushl intuitional
ntutv intuitive
nnda inundate
nndsh inundation

# Page 100 Column 3
enur inure
enurm inurement
nvad invade
nvaled invalid
nvaledt invalidate
nvaledsh invalidation
nvaledsm invalidism
nvaledte invalidity
nvlb infvaluable
nvarb invariable
nvash invasion
nvkv invective
nva inveigh
nvar inveigher
nvegl inveigle
nvnt invent
nvnsh invention
nvntv inventive
nvntr inventor
nvntre inventory
nve~t invert
nves invest
nvesg investigate
nvesgsh investigation
nvesg^r investigator
nvesm investment
nvetra inveterate

# Pag 101 Column 1
nvedus unvidious
nvegra invigorate
nvens invincible
nvilb inviolable
nvila inviolate
nves invisible
nvtsh invitation
nvi invite
nvkash invocation
nvs invoice
nvk invoke
nvolnt involuntary
nvolsh involution
nvol involve
nvul invulnerable
n^d inward
a^eden iodine
a&eta iota
epkak ipecac
iras^b irascibility
irasb irascible
ira irate
eredes iridescence
eredes iridescent
ires iris
irsh Irish

# Page 101 Column 2
erksm irksome
in iron
inklad ironclad
erashl irrational
erash^l irrationality
erfeut irrefutable
ereg irregular
ereg^r irregularity
erel irrelevant
e~medb irremediable
erepr^b irreparability
ereprb irreparable
erpres irrepressible
erprch irreproachable
erss irresistable
eresolut irresolute
eres^v irrespective
ersp irresponsible
er^v irretrievable
erevk irrevocable
ereg irrigate
eregsh irrigation
e~t^b irritability
e~tb irritable
e~tnt irritant
e~ta irritate

# Page 101 Column 3
e~tsh irritation
? erpsh irruption
iland island
il isle
isola isolate
isolash isolation
issles isosceles
eshuns issuance
eshu issue
esmus isthmus
t it
etaln Italian
etalk italic
eta| Italy
ech itch
atm item
atmiz itemize
etra iterate
itnrse itinerancy
itnrant itinerant
itnre itinerary
itnra itinerate
tss itself
ivre ivory
ive ivy
