# Page 102 Column 1
jabr jabber
shabo jabot
jaket jacket
jad jade
jadg jag
jagad jagged
jal jail
jam jam
jangl jangle
janetr janitor
janetres janitress
jan January
japn Japan
ja~ jar
ja~dnr jardiniere
jargn jargon
? ja|~ jars
jasmn jasmine
jaspr jasper
jondes jaundice
jont jaunt
jonten jauntiness
jonte jaunty
javlen javelin
jo jaw

# Page 102 Column 2
jelus jealous
jelse jealousy
je~ jeer
je^e jeeringly
j'eva Jehovah
jele jelly
jepa~diz jeopardize
jepa~de jeopardy
jerk jerk
jerse jersey
jest jest
jeste~ jester
jesut jesuit
jess Jesus
jet jet
jetsm jetsam
jete jetty
ju Jew
jul jewel
julr jeweler
julre jewelry
jeb jib
jib jibe
jefe jiffy
jeg jig
jigl jiggle
jelt jilt

# Page 102 Column 3
jengl jingle
jenrkesha jinrikisha
job job
jobr jobber
jke jockey
jkos jocose
jkose jocosely
jkosn jocoseness
jklr jocular
jk^r jocularity
jknd jocund
jg jog
jgl joggle
joen join
joene~ jioner
joent joint
joest joist
jk joke
jkr joker
jk^e jokingly
jol^f jollification
jolen jolliness
j^l jollity
jole jolly
jolt jolt
jol^t jolted

# Page 103 Column 1
jonke_l jonquil
josl jostle
jot jot
je~n journal
je~nsm journalism
je~nes journalist
je~ne journey
je~nemn journeyman
jovl jovial
jov^l joviality
joe joy
joef joyful
joefn joyfulness
joel joyless
joes) joyous
jubl jubilant
juble jublilee
jj judge
jj^sh judgeship
jjm judgment

# Page 103 Column 2
jdekatr judicature
jdsh judicial
jdshre judiciary
jdshus judicious
jdshusn judiciousness
jug jug
jugl juggle
juglr juggler
juglar jugular
jus juice
jusen juiciness
juse juicy
julep julep
ju July
jmb jumble
jmp jump
jnk junction
jnktr juncture
jn June
jngl jungle

# Page 103 Column 3
jnr junior
jnepr juniper
jnket junket
jures jurisdiction
juresp jurisprudence
juresp jurisprudent
jures jurist
ju^r juror
ju jury
jumn juryman
jus just 
jus-s justice
justf^b justifiable
jus^f justification
jusf^r justifier
jusf justify
jusn justness
jut jute
jvnl juvenile
juvn juvenility
juxtposh juxtaposition
