
# Page 25 Column 1
kabret cabaret
kabj cabbage
kabn cabin
kab cabinet
kab cable
kab^g cablegram
kabus caboose
kakl cackle
kaktus cactus
kadavk cadaveric
kadav cadaverous
kadns cadence
kadnse cadency
kadt cadet
kadtsh cadetship
kaje~ cadger
kadlk cadillac
kafa, cafe
kafek caffeic
kafe,n caffeine
kaftnek caffetannic
kaj cage
karn cairn
kasn caisson
katf caitiff
kajol cajole

# Page 25 Column 2
kak cake
kalbash calabash
kalam calamitous
kal^mt calamity
kalash calash
kalkar calcareous
kalsf calcify
kalsemi calcimine
kalsin calcine
kalsit calcite
kalsem calcium
kalb calculable
kal calculate
kalsh calculation
kalv calculative
kal^r calculator
kodrn caldron
kalfesht calefacient
kalend calendar
kafsken calfskin
kalbr caliber
kaleko calico
kalesth calisthenics
ka call
ka^r caller
kal^er calligrapher
kal^ek calligraphic

# Page 25 Column 3
kal^ekl calligraphical
kal^e| calligraphy
kalipe calliope
kalus callous
kalo callow
kam calm
kam-n calmness
kalml calomel
kalores calorescence
kalok caloric
kalr^s) caloricity
kaloref calorific
kalor^f calorification
kalm-na&'t calumniate
kalm-na&'tr calumniator
kalm-nus calumnious
kalm-ne calumny
kalvre calvary
kambrk cambric
kaml camel
kameo cameo
kamera camera
kamerl^st cameralistic
kamomi~ camomile
kamp camp
kampn campaign
kamfr camphor

# Page 26 Column 1
kamfra camphorate
kampus campus
k can
kan Canada
kanadn Canadian
kanl canal
kana~d canard
kanare canary
kans cancel
kans-sh cancellation
kanser cancer
kdlabra candelabra
kd-nt candent
kdd candid
kddase candidacy
kddat candidate
kddatr candidature
kdd-n candidness
kded candied
kdl candle
kdr candor
kde candy
kan cane
kani canine
kaneste~ canister
kanke~ canker
kanre cannery

# Page 26 Column 2
kanebl cannibal
kaneblsm cannibalism
kanun cannon
kanunad cannonade
kn cannot
kane canny
kanu canoe
kanust canoeist
kanun canon
kanon^k canonical
kanunes canonist
kanunez-sh canonization
kanpe canopy
kt cant
ktalp cantaloupe
ktank cantankerous
ktata cantata
ktatres cantatrice
kten canteen
kte~ canter
kanthres cantharis
kt^k canticle
ktelev cantilever
ktela cantillate
kto canto
kan-tn canton
ktr cantor

# Page 26 Column 3
kanv canvass
kanv^r canvasser
kuchuk caoutchouc
kap cap
kap^b capability
kap capable
kapshus capacious
kapas capacitate
kap^s) capacity
kaprsn caparison
kapr caper
kapf capful
kapa&'s capias
kapl^r capillarity
kaplre capillary
kpt capital
kptes capitalist
kptez-sh capitalization
kptiz capitalize
kpta| capitally
kpt capitol
kaptlr capitular
kapt^u capitulate
kapn capon
kapres caprice
kapresh capricious
kaprekrn capricorn

# Page 27 Column 1
kapsiz capsize
kapstn capstan
kapston capstone
kapsolr capsular
kaps^u capsulate
kapsul capsule
kaptn captain
kaptnse captaincy
kapsh caption
kpashus captious
kaptvat captivate
kaptv captive
kap^v captivity
kaptr capture
kr car
karaf carafe
karml caramel
karat carat
krvan caravan
kara_ caraway
krbin carbine
krbne~ carbineer
krbolk carbolic
krbn carbon
krbnashus carbonaceous
krbnat carbonate
krbnek carbonic

# Page 27 Column 2
krbnezsh carbonization
krbniz carbonize
krbnk carbuncle
ka~d card
ka~dbor cardboard
ka~de~ carder
ka~da&'k cardiac
ka~dnl cardinal
ka~dnla cardinalate
ka~dnlsh cardinalship
ka~d^o cardiograph
ka~d^ok cardiographic
ka~doe cardioid
ka~d^ts carditis
ka care
karen careen
krer career
kaf careful
? kal careless
? kaln carelessness
kares caress
karet caret
ka-uon careworn
kago cargo
krbu caribou
karek caricature
krmn carmine

# Page 27 Column 3
krmnek carminic
krnj carnage
krnl carnal
krnat carnate
krnsh carnation
krneln carnelian
krnus carneous
krnev carnival
krnevus carnivorous
karl carol
karm carom
karaus carouse
karp carp
krpntr carpenter
krpt carpet
krj carriage
kae^r carrier
karut carrot
kae carry
kae-o( carryall
ka~t cart
ka~tj cartage
*2 ka~tblansh carte blanche
ka~tel cartel
ka~te~ carter
ka~tlj cartilage
ka~t^or cartographer

# Page 28 Column 1
ka~t^ok cartographic
ka~t^oke cartographically
ka~t^o-e cartography
ka~tn carton
