# Page 79 Column 1
gab gable
gad gad
galik Gaelic
gag gag
gaj gage
gan gain
gat gait
gate~ gaiter
gala gala
gal gale
gol gall
galant gallant
galantre gallantry
glre gallery
gale galley
galn gallon
galp gallop
galos gallows
glvnik galvanic
glvniz galvanize
gamb gamble
bambl gambol
gam game
gamn gammon
gamut gamut
gang gang

# Page 79 Column 2
gangren gangrene
ganga_ gangway
gap gap
garash garage
grb garb
ga~dn garden
ga~dnr gardener
gagl gargle
garesh garish
grland garland
grm garment
grnet garnet
grnesh garnish
grneshe garnishee
grneshm garnishment
garet garret
grsn garrison
gr^l garrulity
grlus garrulous
ga~te~ garter
gas gas
gasus gaseous
gash gash
gaslen gasoline
gasp gasp
gastrk gastric

# Page 79 Column 3
gastr^st gastritis
gat gate
gata_ gateway
gath gather
gode| gaudily
gode gaudy
gont gaunt
gontlet gauntlet
goz gauze
gavl gavel
ga gay
gate gayety
gaz, gaze
gazel gazelle
gazet gazette
ger gear
ges geese
gasha geisha
jelatn gelatin
jem gem
gndr gender
jen^os genealogist
jen^o genealogy
jen general
jen^l generality
jenliz generalize
jen^sh generalship

# Page 80 Column 1
jenra generate
jensh generation
jenratr generator
jenerk generic
jenr^s) generosity
jenrs generous
jenss genesis
jenl genial
jen^l geniality
jena| genially
jenetv genitive
jenus genius
gntel gneteel
jensh gentian
gntil gentile
gnt^l gentility
gntl gentle
gntmn gentleman
gnt gentlemen
gntln gentleness
gnte gently
gntre gentrt
jenflsh genuflection
jenun genuine
jenunn genuineness
jenus genus
j^okl geographical

# Page 80 Column 2
j^oke geographically
j^oe geography
? j^o geologically
j^os geologist
? j^o geology
jeom^k geometrical
jeom geometry
jeranem geranium
je~m germ
je~mn German
je~man germane
je~msi germicide
je~mat germinate
jernd gerund
jerndv gerundive
jestek^u gesticulate
jestik^ush gesticulation
jestek^ur gesticulator
jestr gesture
get get
gisr geyser
gaste| ghastly
gerken gherkin
gost ghost
jint giant
jebt gibbet
jeblet giblet

# Page 80 Column 3
geden giddiness
gede giddy
geft gift
gef^t gifted
geg gig
jig^n gigantic
gegl giggle
geld gild
jel gill
gemlet gimlet
jen gin
jenje~ ginger
? jengee gingerly
gengam gingham
jenseng ginseng
jeraf giraffe
ge~d gird
ge~de~ girder
ge~dl girdle
grl girl
ge~t girt
gerth girth
jest gist
ge give
ge given
gezad gizzard
glashl glacial

# Page 81 Column 1
glashe~ glacier
gl glad
gl^n gladden
gl^r gladder
glad glade
gladtr gladiator
gln gladness
glamr glamour
glans glance
gland gland
glar glare
glas glass
gla,z glaze
glem gleam
gle,n glean
gle glee
gleb glib
glid glide
glime~ glimmer
glmis glimpse
glent glint
glesn glisten
glete~ glitter
glot gloat
glob globe
globeu globule

# Page 81 Column 2
glum gloom
glume gloomy
glof glorify
glos glorious
glo glory
glos gloss
glosare glossary
? glosen glossiness
glose glossy
glv glove
glo glow
glukos glucose
glu glue
glm glum
glutn gluten
glutn glutton
glutnus gluttonous
glseren glycerin
narl gnarl
nash gnash
nat gnat
