# Page 85 Column 1
'abe~dashe~ haberdasher
'abelem habiliment
'abileta habilitate
'abt habit
'abtb habitable
'abtn-t habitant
'abtsh habitation
'abtl habitual
'abtut habituate
'ak hack
'akne hackney
'adok haddock
'ag hag
'aga~d haggard
'agl haggle
'al hail
'alstom haistorm
'ar hair
'alsen halcyon
'af half
'albt halibut
'ol hall
'alo hallow
'aloen halloween
'ausnat hallucinate
'alusnsh hallucination

# Page 85 Column 2
'alo halo
'olt halt
'olte~ halter
'amlet hamlet
'ame~ hammer
'amuk hammock
'ampr hamper
'nd hand
'ndbk handbook
'ndf handful
'ndekap handicap
? 'ndekraft handicraft
'nderk handiwork
'ankerch handkerchief
'ndl handle
'ansm handsome
'ndri' handwriting
'nde handy
'anga~ hangar
'ank hank
'anke~ hanker
'asm hansom
'apaza~d haphazard
'apl hapless
'apn happen
'ape| happily

# Page 85 Column 3
? 'apen happiness
'ape happy
'arang harangue
a'ras harass
'arbnje~ harbinger
'arbr harbor
'a~d hard
'a~dn harden
'a~de~ harder
'a~de^d hardihood
'a~den hardiness
'a~d-n hardness
'a~dsh hardship
? 'a~da~_ hardware
'a~de hardy
'ar hare
'arem harem
'ark hark
'a~m harm
'a~ml harmless
'a~mnek harmonic
'a~mnus harmonious
'a~mniz harmonize
'a~mne harmony
'a~nes harness
'arp harp
'aro harrow

# Page 86 Column 1
'a~sh harsh
'a~shn harshness
'arves harvest
'arveste~ harvester
'ash hash
'asp hasp
'ask hassock
'ast haste
'asn hasten
'aste| hastily
'asten hastiness
'aste hasty
'at hat
'ach hatch
'achet hatchet
'atf hateful
'atl hatless
'atrak hatrack
'atred hatred
'otem haughtiness
'ote haughty
'ol haul
'ont haunt
'oter hauteur
v have
'avn haven
'avrsek haversack

# Page 86 Column 2
'avk havoc
'ok hawk
oser hawser
'othon hawthorn
'a hay
'aza~d hazard
'aza~dus hazardous
'a,z haze
'asl hazel
'aze hazy
e he 
'ed head
'edd headed
ed^k headquarters
'el heal
'elth health
'elthf healthful
'elther healthier
'elthe healthy
'ep heap
'er hear
'e~d heard
'ersa hearsay
'ers hearse
'a~t heart
'a~tak heartache
'a~tn hearten

# Page 86 Column 3
'arth hearth
'a~tl heartless
'a~te hearty
et heat
'e,th heath
'ethen heathen
'ethensh heathenish
'eth heather
'ev heave
'evn heaven
'evnen heavenliness
'eve heavy
'ebru Hebrew
'ekl heckle
'ektek hectic
'ekt^o hectograph
'ej hedge
'ed heed
'edl heedless
'el heel
'it height
'itn heighten
'anus heinous
ar heir
arlum heirloom
'eld held
'elothrp heliotrope

# Page 87 Column 1
'elm helm
'elmet helmet
'elp help
'elpf helpful
'elpfn helpfulness
'elpl helpless
'elpln helplessness
'em hem
'emesf hemisphere
'emlok hemlock
'emd hemmed
'emorj hemorrhage
'emp hemp
'emstech hemstitch
'en hen
'ens hence
ensfth henceforth
'eptrke heptarchy
er her
erald herald
erb herb
'erkeu herculean
'e~d herd
'er here
'eraf hereafter
'erb hereby
'e~dre hereditary

# Page 87 Column 2
'e~dte heredity
'e~n herein
'e~nf hereinafter
'e~nbf hereinbefore
'erese heresy
'er^a heretic
'er^a| heretical
'e~tf heretofore
'e~nto hereunto
'e~th herewith
'e~tj heritage
'e~m^a| hermetical
? 'e~m^a|e hermetically
'e~met hermit
'e~metj hermitage
'ero hero
'erok heroic
'ero,en heroine
'erosm heroism
'ers herself
'estnse hesitancy
'estn-t hesitant
'esta hestitate
'esta^e hestitatingly
'estsh hestitation
'etrojen heterogeneous
'eu hew

# Page 87 Column 3
'eum hewn
'exgn hexagon
'a&etus hiatus
'ibe~nl hibernal
'ibe~nat hibernate
'ibe~nsh hibernation
'ekuf hiccough
'ekre hickory
'edn hidden
'id hide
'edus hideous
'irog hieroglyphic
'i high
'ir higher
'is highest
'iland highland
? 'ie highly
'in highness
'i^ua highway
'ilarus hilarious
'il^r hilarity
'el hill
'eluk hillock
'elsi hillside
'elt hilt
'ems himself
'ind hind

# Page 88 Column 1
'endr hinder
'endrns hindrance
enj hinge
'ent hint
'ent^e hintingly
'ep hip
'epdrom hippodrome
'epoptm hippopotamus
