# Page 105 Column 1
labl label
laba^'l labial
labr labor
lab^re laboratory
labrus laborious
labrenth labyrinth
las lace
lasera lacerate
lak lack
lakdas^k lackadaisical
lake lackey
laknek laconic
lakr lacquer
lakren lacrimal
lakta^el lacteal
laktek lactic
lad lad
lade~ ladder
ladl ladle
lade lady
lag lag
laga~d laggard
lagun lagoon
lad laid
lan lain
lar lair

# Page 105 Column 2
late laity
lak lake
lam lamb
lambent lambent
lambrekn lambrequin
lam lame
lamn-t lament
lamp lamp
lampun lampoon
lans lance
lanset lancet
land land
lando landau
land^r landholder
landskp landscape
land^d landward
lan lane
lang language
lange_d languid
lange_sh languish
langr languor
lanke lanky
lanten lantern
lap lap
lapl lapel
lapf lapful
lapdre lapidary

# Page 105 Column 3
lapt lappet
laps lapse
larsnus larsenous
larsne larceny
la~d lard
la~de~ larder
laj large
laje| largely
laje~ larger
lajes largest
lara^'t lariat
lark lark
larva larva
laren^ts laryngitis
larenkx larynx
lash lash
lastu lassitude
laso lasso
las last
lach latch
lachke latchkey
lat late
latnse latency
lat-n lateness
latn-t latent
la^l lateral
lates latest

# Page 106 Column 1
lath lath
lath lather
latn Latin
latet latitude
latudn latitudinal
latudnus latitudinous
late~ latter
lates lattice
lod laud
lod^b laudability
lodb laudable
lodbn laudableness
lodnum laudanum
lodre laudatory
laf laugh
laf^e laughingly
lafte~ laughter
lafterl laughterless
lonch launch
landr launder
londre laundry
lora^'t laureate
lorel laurel
lava lava
lavtre lavatory
lavndr lavender
lavesh lavish

# Pge 106 Column 2
laveshn lavishness
lo law
lof lawful
lol lawless
lon lawn
lor lawyer
lax lax
laxte laxity
laxn laxness
la lay
lar layer
lamn layman
? lazen laziness
laze lazy
led lead
ledn leaden
lede~ leader
lef leaf
leafl leafless
leg league
legr leaguer
lek leak
lekj leakage
leken leakiness
len lean
lep leap
len learn

# Page 106 Column 3
lenb learnable
len^t learned
lene~ learner
lesb leasable
les lease
elsl leasehold
lesh leash
lest least
leth leather
lev leave
lekt lecture
lekt^r lecturer
lej ledge
lege~ ledger
le^d leeward
le^ua leeway
lft left
legse legacy
leg legal
leg^l legality
legezsh legalization
legiz legalize
legat legate
legate legatee
legsh legation
lejnd legend
lejndre legendary

# Page 107 Column 1
lejdman legerdemain
lej^b legibility
lejb legible
lejn legion
lejnre legionary
lj legislate
lj^sh legislation
ljv legislative
lj^r legislator
ljt legislature
leshu leisure
lemn lemon
lend lend
lendb lendable
lendr lender
leng length
lengn lengthen
lengi lengthwise
lenense leniency
lenent lenient
lens lens
lent lent
lepe~d leopard
leprse leprosy
les less
lese lessee

# Page 107 Column 2
lesn lessen
lesnd lessened
lesr lesser
lesn lesson
lesr lessor
lest lest
le let
lethje lethargy
le letter
le^ed letterhead
le^g lettergram
le^pres letterpress
letus lettuce
leve lebee 
levl level
levln levelness
levr lever
l^v levity
leve levy
lex^or lexicographer
lex^oe lexicography
lex^o lexicology
lexkn lexicon
li^b liability
lib liable
libl libel
liblr libeler

# Page 107 Column 3
leber liberal
lebersm liberalism
leb^l liberality
lebra| liberally
lebra liberate
lebrash liberation
lebratr liberator
lebe~tn libertine
leb liberty
libra^'n librarian
libre library
lebreto libretto
lisns license
likn lichen
lek lick
lekores licorice
led lid
li lie
lej liege
len lien
leu lieu
lutnnt lieutenant
lutnntsh lieutenantship
laf life
lafl lifeless
lafla lifelike
laflng lifelong

# Page 108 Column 1
laftm lifetime
left lift
legm ligament
legatr ligature
li light
lin lighten
li^r lighter
? lie lightly
li^n lightness
lin' lightning
la^b likable
la like
? lae^d likelihood
?lae likely
lan liken
la^n likeness
? lis likewise
lilak lilac
lele lily
lem limb
lembr limber
lim lime
lemet limit
lemetb limitable
lemetsh limitation
lem^t limited
lemetl limitless

# Page 108 Column 2
lemsen limousine
lemp limp
lempd limpid
lempdte limpidity
klmpd-n limpidness
len-dn linden
lan line
lenj lineage
lenl lineal
len^l lineality
lena| lineally
? lena^'~ linear
lenen linen
lane~ liner
