# Page 111 Column 1
m^admes macadamization
m^admez macadamize
makrone macaroni
makrun macaroon
masera macerate
makenat machinate
amkensh machination
mashn machine
mashnre machinery
mashnes machinist
makrl mackerel
m^ntosh machintosh
makrn macron
madm madam
madn madden
mad made
madna madonna
mag magazine
magnta magenta
majk magic
maj^k magical
majesh magician
majestrl magisterial
majestra magistrate
m^n^nt magnanimity
m^n magnanimous

# Page 111 Column 2
m^at magnate
m^sha^' magnesia
m^t magnet
m^tek magnetic
m^tsm magnetism
m^sisb magnetizable
m^fib magnifiable
m^fkash magnification
m^f magnificence
m^f magnificent
m^fir magnifier
m^fi magnify
m^lok magniloquence
m^lok magniloquent
m^tu magnitude
m^la^' magnolia
mogne mahongany
mad maid
madn maiden
ma~ mail
ma~^b mailable
mam maim
mand maimed
man main
manland mainland
mntn maintain
mntmb maintainable

# Page 111 Column 3
mntnans maintenance
maj^st majestic
maj^sta| majestically
majeste majesty
majr major
maj^r majority
mak make
makr maker
malade malady
malara^' malaria
maledsh malediction
malfaksh malefaction
malfak malefactor
malevns malevolence
malev malevolent
malfesns malfeasance
malfmsh malformation
males malice
malesh malicious
malin malign
malegse malignancy
mal^b malleability
malb malleable
mala^'sh malleation
malet mallet
molt malt

# Page 112 Column 1
mmoth mammoth
mn man
mn^k manacle
mnj manage
mnj^b manageability
mnjb manageable
mnjm management
mnje~ manager
mnje~l managerial
mnje~^sh managership
mn-dren mandarin
mn-dt mandate
mn-dtre mandatory
mn-dolen mandolin
mnuv maneuver
mang mangle
mn^d manhood
mn^a&' mania
mna&'k maniac
mnekeu manicure
mnfes manifest
mnfes-sh manifestation
mnfesto manifesto
mnfol manifold
mnken manikin
mnip^u manipulate
mnip^ush manipulation

# Page 112 Column 2
mnip^uv manipulative
mnip^ur manipulator
mnki mankind
mnla manlike
mnen manliness
mne~ manner
mnersm mannerism
mneren mannerliness
? mnee mannerly
mnesh mannish
mnr manor
mnsa~d mansard
mns manse
mnsh mansion
mn-tl mantle
mnul manual
mnf^re manufactory
mnf manufacture
mnf^r manufacturer
mnskr manuscript
mne many
map map
mapl maple
ma~ mar
marod maraud
marode~ marauder
marb marble

# Page 112 Column 3
mach march
mache~ marcher
majn margin
majnl marginal
maren marine
marene~ mariner
maretl marital
maretm maritime
mark mark
markt marked
mr market
mr^b marketable
ma~mla marmalade
ma~mot marmot
marun maroon
marke_s marquis
marj marriage
maro marrow
mare marry
marsh marsh
marshl marshal
marshen marshiness
ma~t mart
martn marten
marshl martial
ma~tnet martinet

# Page 113 Column 1
ma~trdm martyrdom
marv marvel
marv marvelous
maskt mascot
maskeu masculine
maskeu&nt masculinity
mash mash
mask mask
maskt masked
masn mason
masnek masonic
masnre masonry
maskrad masquerade
maskrade~ masquerader
