# Page 125 Column 1
ok oak
or oar
orl oarless
oss oasis
oth oath
ot-mel oatmeal
obdrse obduracy
obdra obdurate
obdrat-n obdurateness
obdns obedience
obdn-t obedient
obasns obeisance
oblesk obelisk
ob^s) obesity
oba obey
obtre obituary
ob object
obsh objection
obshb objectionable
ob^v objective
ob^ve objectively
ob^v objectivity
ob^r objector
objugat objurgate
obleg obligate

# Page 125 Column 2
oblsh obligation
obl^re obligatory
obl oblige
oble obligee
obl^e obligingly
oblek oblique
oblet obliterate
obetsh obliteration
obevn oblivion
oblev oblivious
oblng oblong
obloke obloquy
obnox obnoxious
obskr obscure
obsk^r obscurity
obsek obesequious
obse^b observable
obse~ns observance
obsesh observation
obse^re observatory
obse observe
obse^r observer
obss obsess
obsesh obsession
obsoles obsolescent
obsole obsolete

# Page 125 Column 3
obs^k obstacle
obstnse obstinacy
obstn obstinate
ob^p obstreperous
ob^k obstruct
ob^kr obstructer
ob^ksh obstruction
obkv obstructive
obtn obtain
obtnb obtainable
obtrud obtrude
obtrusv obtrusive
obtus obtuse
obsves obverse
obva^'t obviate
obva&'sh obviation
obv obvious
kash occasion
kashl occasional
oksednl occidental
oklt occult
okltsh occulation
okpse occupancy
okpnt occupant
okp occupation
okp^r occupier
okp occupy

# Page 126 Column 1
okr occur
okrns occurrence
osh ocean
oshk oceanic
okr ocher
okl o'clock
oktag octagon
oktv octave
okt October
oktpus octopus
okulr ocular
okules oculist
od odd
odte oddity
od-n oddness
odus odious
odr odor
odrl odorless
o of 
of off
ofnd offend
ofndr offender
ofens offense
ofensv offensive
of offer
of'nd offhand
os) office

# Page 126 Column 2
os)^r officeholder
os)r officer
oshl official
osha| offically
osha&'t officiate
oshus officious
ofset offset
ofn often
ofntms oftentimes
oftms ofttimes
oel oil
oelen oiliness
oent-m ointment
old old
oldn olden
oleom oleomarine
olfaktre olfactory
oleg oligarchy
olev olive
omlet omelet
omn omen
omnus ominous
omet omit
om-nebus omnibus
om-neptns omnipotence
om-nep omnipotent

# Page 126 Column 3
om-neprens omniprescence
om-nepres omnipresent
om-neprev omniprevalent
om-nesht omniscient
ons once
on one
on-n oneness
onrus onerous
onss oneself
? oneun onion
one only
onrsh onrush
onset onset
onslot onslaught
on^d onward
ulng oolong
u,z ooze
op^s) opacity
opl opal
opak opaque
opakn opaqueness
opn open
opra opera
opra operate
oprsh operation
opratv operative

# Page 127 Column 1
opratr operator
opa&'t opiate
opin opine
opn opinion
opnb opinionable
opna^t opinionated
opnatv opinionative
opem opium
opon opponent
oprtn opportune
oprtnes opportunist
opr opportunity
opo^b oppisability
opob opposable
opo oppose
opo^r opposer
opos opposite
oposh oppisition
opostv oppositive
opres oppress
opresh oppression
opresv oppressive
opresvn oppressiveness
opresr oppressor
oprbrem opprobrium
optek optic
opt^k optical

# Page 127 Column 3
odel ordeal
od order
odb orderable
odl orderless
oden orderliness
odnl ordinal
odnans ordinance
odn ordinary
odnat ordinate
odnsh ordination
od-nans ordnance
or ore
ogn organ
ognek organic
ognsm organism
ognes organist
og^b organizability
ogb organizable
og organization
og organize
orent orient
orentl oriental
orefes orifice
orejn origin
orij original
oren^l originality
orejnat originate

# Page 128 Column 1
orejnsh origination
orejnatv originative
orejnatr oringinator
oreol oriole
onam ornament
oma^m ornamental
onamsh ornamentation
oname~ ornamentor
onat ornate
onat-n ornateness
oreth^o ornithological
oneth^os ornithologist
? oneth^o ornithology
orotnd orotund
ofn orphan
ofnj orphanage
ofn^d orphanhood
othodox orthodox
othope orthoepy
oth^oe orthography
osela oscillate
oselash oscillation
oselatre oscillatory
osk^u osculate
osk^ush osculation
osus osseous
ostns^b ostensibility

# Page 128 Column 2
estns ostensible
est-nsh ostentation
ostn-tshus ostentatious
ostpth osteopath
os^ssm ostracism
os^ss ostracize
os^ch ostrich
oth other
othi otherwise
ot^o otology
otomn ottoman
ot ought
auns ounce
r our
rss ourselves
au out
aukas outcast
auk outcome
aukri outcry
audros outdoors
au^r outer
au^rmo outermost
aufet outfit
aufefe~ outfitter
augroth outgrowth
aulo outlaw
aula outlay

# Page 128 Column 3
aulet outlet
aulan outline
auland outlined
aulu outlook
aunum outnumber
au^p output
auraj outrage
aurajus outrageous
auset outset
ausi outside
ausi^r outsider
austn' outstanding
aud outward
auuet outwit
oval oval
lvash ovation
ovn oven
? o over
o^ak overact
o^os overalls
o^bor overboard
o^chj overcharge
o^k overcome
o&kf overconfidence
o^do overdo
o^estm overestimate
o^flo overflow

# Page 129 Column 1
o^'ol overhaul
o^'ed overhead
o^'er overhear
o^joe overjoy
o^lu overlook
o^pau overpower
o^rl overrule
o^se oversee
o^shado overshadow
o^shu overshoe

# Page 129 Column 2
o^sit oversight
o^t overt
o^t overtake
o^thro overthrow
o^tm overtime
o^tr overture
o^uelm overwhelm
aul owl
on own
one~ owner

# Page 129 Column 3
onerl ownerless
one~^sh ownership
ox ox
oxalek oxalic
oxediz oxidize
oxedizer oxidizer
oxej oxygen
oeste~ oyster
ozon ozone
