
# Page 130 Column 1
pablm pabulum
pas pace
pasf^b pacifiable
pask pacific
pas^f pacification
fasf^r pacifier
pasf pacify
pak pack
pakj package
pakr packer
paket packet
pakt pact
pad pad
padl paddle
paduk paddock
padlok padlock
pagn pagan
pagnsm paganism
paj page
pajnt pageant
pajntre pageantry
pgoda pagoda
pd paid
pal pail
palf pailful
pan pain

# Page 130 Column 2
panf painful
panl painless
panstak' painstaking
pant paint
pantr painter
par pair
pajmas pajamas
palas palace
palat^b palatability
palatb palatable
palatbn palatableness
palat palate
palash palatial
palavr palaver
pal pale
paln paleness
pal^o paleograph
palet palette
palsad palisade
pol pall
palet pallet
pala&'t palliate
pala&'sh palliation
paled pallid
paled-n pallidness
palr pallor
pam palm

# Page 130 Column 3
palp^b palpability
palp palpable
palpash palpation
palpta palpitate
palptsh palpitation
polse palsy
poltren paltriness
poltre paltry
pampr pamper
pamf pamphlet
pansa&' panacea
pankres pancreas
pankr^a pancreatic
pandemn pandemonium
panl panel
pang pang
panek panic
pane~ pannier
panople panoply
panrama panorama
panramek panoramic
panse pansy
pant pant
panthesm pantheism
panthr panther
pantomm pantomime
pantommek pantomimic

# Page 131 Column 1
pantommes pantomimist
pantre pantry
papse papacy
papl papal
papliz papalize
papr paper
papes papist
papirus papyrus
par par
p^b parable
p^bol parabolical
p^shut parachute
parad parade
p^dm paradigm
p^dis paradise
p^d paradox
p^d^k paradoxical
p^fen paraffin
p^gn paragon
p^g paragraph
p^l parallel
p^lsm parallelism
p^l^g parallelogram
p^lss paralysis
p^l^a paralytic
p^liz paralyze
? p^mn paramount
p^pt parapet
p^fer paraphernalia
p^fras paraphrase
p^sit parasite
p^s)^a| parasitical
p^sol parasol
prboel parboil
prsel parcel
parch parch
pachm parchment
pa~dn pardon
pa~dnb pardonable
parent parent
parentj parentage
prenthess parenthesis
prenth^a| parenthetical
parent^d parenthood
parentl parentless
paresh parish
pareshe~ parishioner
park park
prlans parlance
prle parley
prl parliament
prl^re parliamentary
prlr parlor
parok parochial

# Page 131 Column 3
paroksm parochialism
parode parody
parol parole
? paroxs paroxysm
para parquet
parsi parricide
parut parrot
pare parry
pars parse
prsemnus parsimonious
prsemne parsimony
prsle parsley
prsn parson
prsnj parsonage
pt part
ptak partake
ptakr partaker
parsh partial
parsh^l partiality
ptespnt participant
ptesp participate
ptespsh participation
ptesp^r participator
ptsep participle
pt^k particle
pat particular
patiz particularize

# Page 132 Column 1
ptes partisan
ptessh partisanship
pa~tsh partition
pt-ne~ partner
ptne~^sh partnership
ptrej partridge
pte party
pas pass
pasb passable
pasj passage
pasje~ passenger
pash passion
pashat passionate
pasv passive
pas^v passivity
paspor passport
pasud password
past paste
pasbor pasteboard
pastm pastime
pastor pastor
pastrl pastoral
pastra pastorate
pastre pastry
pastrj pasturage
