
# Page 149 Column 1
rabi rabbi
rabn^k rabbinical
nabt rabbit
nab rabble
rabd rabid
ras race
raser racer
rak rack
raket racket
rase racy
radens radiance
rad-nt radiant
rada&'t radiate
rada&'sh radiation
radr radiator
rad^k radical
rad^ksm radicalism
rad^kn radicalness
radsh radish
radm radium
radus radius
rafl raffle
raft raft
rafte~ rafter
rag rag
raj rage

# Page 149 Column 2
raged ragged
raged-n raggedness
rad raid
ral rail
ralre raillery
rr railroad
rl railway
ran rain
ranbo rainbow
ras raise
rasd raised
rasn raisin
rak rake
rakesh rakish
rale rally
ram ram
ramb ramble
ram^f ramification
ramef ramify
rampj rampage
rampse rampancy
rampnt rampant
rampt rampart
ramrod ramrod
ramshakl ramshackle
ranch ranch

# Page 149 Column 3
ranchmn ranchman
ransd rancid
ransdte rancidity
ransd-n rancidness
rankr rancor
rankrus rancorous
ran-dm random
ranj range
ranje~ ranger
rank rank
rankl rankle
ransak ransack
ransm ransom
ransme~ ransomer
ransml ransomeless
rant rant
rap rap
rapash rapacious
rap^s) rapacity
rapd rapid
rapdte rapidity
raper rapier
rapt rapt
raptr rapture
raptrus rapturous
rar rare
raref rarefy

# Page 150 Column 1
rarn rareness
r^r rarity
raskl rascal
rask^l rascality
rash rash
rashn rashness
rasp rasp
rachet ratchet
rat rate
rath rather
rat^f ratification
? radf^r ratifier
? radf ratify
rasho ratio
rash ration
rashl rational
rashlsm rationalism
rash^l rationality
ratn rattan
ratl rattle
rokus raucous
ravj ravage
ravje~ ravager
rav rave
ravl ravel
ravn raven
ravnus ravenous

# Page 150 Column 2
raven ravine
ravesh ravish
ro raw
ra ray
raz, raze
razor razor
rech reach
rechb reachable
ra&'kt react
ra&'ksh reaction
ra&'kshre reactionary
red read
redb readable
rede~ reader
rede| readily
reden readiness
rede ready
re real
re^sm realism
re^st realist
re^sta| realistically
re^l reality
relezsh realization
reliz realize
re| really
relm realm
relte realty 

# Page 150 Column 3
rem ream
ra&'nemat reanimate
rep reap
repr reaper
ra&'pr reappear
? reoe reappoint
rer rear
