
# Begin T's
# Page 179 Column 1
tab tab
tabe~n tabernacle
tab table
tablo tableau
tablet tablet
tabu taboo
tabr tabor
tabret taboret
tabren taborine
tablr tabular
tab^u tabulate
tab^ush tabulation
tast tacit
tasten taciturn
taste~^nt taciturnity
tak tack
takl tackle
takt tact
takteks tactics
taktl tactile
takt^l tactility
taktl tactless
tafta taffeta
? taf taffe
tag tag
tal tail

# Page 179 Column 2
talr tailor
tant taint
tantl taintless
tak take
tal tale
talent talent
talesmn talisman
tok talk
toktv talkative
toktvn talkativeness
tokr talker
tol tall
talo tallow
talle tally
talmud talmud
taln talon
tmbren tambourine
tam tame
? tam-n tameness
tame~ tamer
tamne tammany
tmpr tamper
tan tan
tn-dm tandem
tang tang
tnjnt tangent
tnjeren tangerine

# Page 179 Column 3
tnjb tangible
tnebn tangibleness
tangl tangle
tank tank
tane~ tanner
tanek tannic
tanse tansy
tn-tlezsh tantalization
tn-tliz tantalize
tn-tlizer tantalizer
tn-tamn-t tantamount
tap tap
tapr taper
tapes tapestry
tapka tapioca
ta~ tar
ta~de| tardily
ta~den tardiness
target target
tarf tariff
tarsh tarnish
tarpolen tarpaulin
tare tarry
ta~t tart
ta~ta~ tartar
ta~t-n tartness
task task

# Page 180 Column 1
taskmas taskmaster
tasel tassel
tast taste
tastl tasteless
taste tasty
tatu tattoo
tot taught
tont taunt
tot taut
? tot^o tautology
tave~n tavern
todren tawdriness
todre tawdry
tone tawny
tax tax
taxb taxable
taxsh taxation
taxkab taxicab
taxdemes taxidermist
taxdeme taxidermy
taxpar taxpayer
tch teach
tchb teachable
tche~ teacher
tek teak
tem team
te~ tear

# Page 180 Column 2
terf tearful
terl tearless
tes tease
tespn teaspoon
tespnf teaspoonful
tekn^k technical
tekn^l technicality
tekneke technique
tektnek tectonic
tedus tedious
tedm tedium
teth teeth
tel^g telegram
tel^e telegraph
tel^er telegrapher
tel^ek telegraphic
tel^e| telegraphy
telpthe telepathe
telfn telephone
telskp telescope
? telskpk telescopic
te~ tell
te~^r teller
tm^r temerity
tmpr temper
tmpram temperament
? tmpra^mn temperamental

# Page 180 Column 3
tmp temperance
tmpra temperate
tmpratr temperature
tmpr^d tempered
tmpes tempest
tmpestus tempestuous
tmplr templar
tmpl temple
tmprl temporal
tmpr^l temporality
tmpra temporary
tmpriz temporize
tmt tempt
tmtsh temptation
tmte~ tempter
tnb tenable
