
# Begin A's
# Page 1 Column 1
ABAK Aback
ABAF Abaft
ABAND Abandon
ABANDM Abandonment
ABAS Abase
ABASHT Abashed
ABAT Abate
ABATM Abatement
ABE Abbey
ABREV Abbreviate
ABREV^RE Abbreviatory
ABDEKNT Abdicant
ABDEK Abdicate
ABDEKSH Abdication
ABDOM Abdomen
ABDUK Abduct
ABDUKSH Abduction
ABERNT Aberrant
ABERASH Aberration
ABANS Abeyance
ABHOR Abhor
ABHORNS Abhorrence
ABHORNT Abhorrent
ABI Abide
A^B Ability
ABJ Abject

# Page 1 Column 2
ABJU Abjure
ABLASH Ablation
ABLATV Ablative
ABLSH Ablution
ABNEG Abnegate
ABNEGSH Abnegation
ABNOM Abnormal
ABOR Aboard
ABOD Abode
ABOLESH Abolish
ABOLSH Abolition
ABOLSHST Abolitionist
ABOMB Abominable
ABOMBN Abominableness
ABOMAT Abominate
ABOMSH Abomination
ABORJ Aboriginal
ABOREJNES Aborigines
ABN Abound
AB About
ABU Above
ABRASH Abrasion
ABRASV Abrasive
ABRES Abreast
ABREJ Abridge
ABREJM Abridgment
ABROD Abroad

# Page 1 Column 3
abrog abrogate
abrogsh abrogation
abrp abrupt
abrpn abruptness
abss abscess
absknd abscond
abs absence
abse absentee
abso absolute
absolsh absolution
absol absolve
absob absorb
absopsh absorption
abstn abstain
abstmus abstemious
abstmusn abstemiousness
abstnens abstinence
ab^k abstract
ab^kt abstracted
ab^ksh abstraction
ab^us abstruse
absed absurd
absede absurdity
abndns abundance
abndn abundant
abeu abuse
abeusv abusive

